filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
AZ_R2_2024-12-14_1.csv_BALANCED,0.6875,0.6875,0.6862745098039216,5,3,2,6,False,[],[],0.7142857142857143,0.625,0.6666666666666666,8.0,0.6666666666666666,0.75,0.7058823529411765,8.0
K_R2_2025-02-04_1.csv_BALANCED,0.5769230769230769,0.5769230769230769,0.5326797385620915,23,3,19,7,False,[],[],0.5476190476190477,0.8846153846153846,0.6764705882352942,26.0,0.7,0.2692307692307692,0.3888888888888889,26.0
FJ_R3_2024-07-29_1.csv_BALANCED,0.5476190476190477,0.5476190476190476,0.4910714285714286,37,5,33,9,False,[],[],0.5285714285714286,0.8809523809523809,0.6607142857142857,42.0,0.6428571428571429,0.21428571428571427,0.32142857142857145,42.0
FJ_R2_2024-07-15_1.csv_BALANCED,0.8333333333333334,0.8333333333333333,0.8285714285714285,3,0,1,2,False,[],[],0.75,1.0,0.8571428571428571,3.0,1.0,0.6666666666666666,0.8,3.0
FU_R2_2024-07-18_1.csv_BALANCED,0.8125,0.8125,0.8117647058823529,7,1,2,6,False,[],[],0.7777777777777778,0.875,0.8235294117647058,8.0,0.8571428571428571,0.75,0.8,8.0
K_R2_2025-01-14_1.csv_BALANCED,0.6785714285714286,0.6785714285714286,0.6571428571428571,13,1,8,6,False,[],[],0.6190476190476191,0.9285714285714286,0.7428571428571429,14.0,0.8571428571428571,0.42857142857142855,0.5714285714285714,14.0
FJ_R2_2024-06-29_1.csv_BALANCED,0.6052631578947368,0.6052631578947368,0.602787456445993,20,18,12,26,False,[],[],0.625,0.5263157894736842,0.5714285714285714,38.0,0.5909090909090909,0.6842105263157895,0.6341463414634146,38.0
FJ_L2_2024-07-15_1.csv_BALANCED,0.6666666666666666,0.6666666666666666,0.625,3,0,2,1,False,[],[],0.6,1.0,0.75,3.0,1.0,0.3333333333333333,0.5,3.0
FJ_L3_2024-07-29_1.csv_BALANCED,0.5925925925925926,0.5925925925925926,0.5115131578947368,27,0,22,5,False,[],[],0.5510204081632653,1.0,0.7105263157894737,27.0,1.0,0.18518518518518517,0.3125,27.0
