filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
AZ_R2_2024-12-14_1.csv_BALANCED,0.625,0.625,0.6,3,5,1,7,False,[],[],0.75,0.375,0.5,8.0,0.5833333333333334,0.875,0.7,8.0
K_R2_2025-02-04_1.csv_BALANCED,0.75,0.75,0.7453860640301319,23,3,10,16,False,[],[],0.696969696969697,0.8846153846153846,0.7796610169491526,26.0,0.8421052631578947,0.6153846153846154,0.7111111111111111,26.0
FJ_R3_2024-07-29_1.csv_BALANCED,0.7023809523809523,0.7023809523809523,0.6896704595832718,38,4,21,21,False,[],[],0.6440677966101694,0.9047619047619048,0.7524752475247525,42.0,0.84,0.5,0.6268656716417911,42.0
FJ_R2_2024-07-15_1.csv_BALANCED,0.6666666666666666,0.6666666666666666,0.625,3,0,2,1,False,[],[],0.6,1.0,0.75,3.0,1.0,0.3333333333333333,0.5,3.0
FU_R2_2024-07-18_1.csv_BALANCED,0.9375,0.9375,0.9372549019607843,7,1,0,8,False,[],[],1.0,0.875,0.9333333333333333,8.0,0.8888888888888888,1.0,0.9411764705882353,8.0
K_R2_2025-01-14_1.csv_BALANCED,0.7142857142857143,0.7142857142857142,0.7083333333333333,12,2,6,8,False,[],[],0.6666666666666666,0.8571428571428571,0.75,14.0,0.8,0.5714285714285714,0.6666666666666666,14.0
FJ_R2_2024-06-29_1.csv_BALANCED,0.6842105263157895,0.6842105263157895,0.6786469344608879,31,7,17,21,False,[],[],0.6458333333333334,0.8157894736842105,0.7209302325581395,38.0,0.75,0.5526315789473685,0.6363636363636364,38.0
FJ_L2_2024-07-15_1.csv_BALANCED,0.8333333333333334,0.8333333333333333,0.8285714285714285,3,0,1,2,False,[],[],0.75,1.0,0.8571428571428571,3.0,1.0,0.6666666666666666,0.8,3.0
FJ_L3_2024-07-29_1.csv_BALANCED,0.8518518518518519,0.8518518518518519,0.8500000000000001,26,1,7,20,False,[],[],0.7878787878787878,0.9629629629629629,0.8666666666666667,27.0,0.9523809523809523,0.7407407407407407,0.8333333333333334,27.0
