filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
FU_R2_2024-06-29_1.csv_BALANCED,0.5,0.5,0.3333333333333333,0,13,0,13,0.0,0.0,0.0,13.0,0.5,1.0,0.6666666666666666,13.0
FS_L2_2024-06-28_1.csv_BALANCED,0.6363636363636364,0.6363636363636364,0.5954022988505747,7,15,1,21,0.875,0.3181818181818182,0.4666666666666667,22.0,0.5833333333333334,0.9545454545454546,0.7241379310344828,22.0
FJ_R3_2024-06-29_1.csv_BALANCED,1.0,1.0,1.0,0,0,0,0,1.0,1.0,1.0,42.0
AZ_L3_2024-11-22_1.csv_BALANCED,0.75,0.75,0.7333333333333334,2,2,0,4,1.0,0.5,0.6666666666666666,4.0,0.6666666666666666,1.0,0.8,4.0
K_R2_2025-01-14_1.csv_BALANCED,0.5714285714285714,0.5714285714285714,0.475,2,12,0,14,1.0,0.14285714285714285,0.25,14.0,0.5384615384615384,1.0,0.7,14.0
AZ_L3_2024-12-16_1.csv_BALANCED,0.375,0.375,0.3333333333333333,1,7,3,5,0.25,0.125,0.16666666666666666,8.0,0.4166666666666667,0.625,0.5,8.0
FJ_L3_2024-06-29_1.csv_BALANCED,0.5,0.5,0.38440492476060195,1,14,1,14,0.5,0.06666666666666667,0.11764705882352941,15.0,0.5,0.9333333333333333,0.6511627906976745,15.0
FJ_L2_2024-07-29_1.csv_BALANCED,0.6923076923076923,0.6923076923076923,0.6601307189542484,5,8,0,13,1.0,0.38461538461538464,0.5555555555555556,13.0,0.6190476190476191,1.0,0.7647058823529411,13.0
FS_L2_2024-07-31_1.csv_BALANCED,0.7,0.7,0.6703296703296704,4,6,0,10,1.0,0.4,0.5714285714285714,10.0,0.625,1.0,0.7692307692307693,10.0
