filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
FU_R2_2024-06-29_1.csv_BALANCED,0.6153846153846154,0.6153846153846154,0.5486111111111112,3,10,0,13,1.0,0.23076923076923078,0.375,13.0,0.5652173913043478,1.0,0.7222222222222222,13.0
FS_L2_2024-06-28_1.csv_BALANCED,0.7272727272727273,0.7272727272727273,0.7124183006535948,11,11,1,21,0.9166666666666666,0.5,0.6470588235294118,22.0,0.65625,0.9545454545454546,0.7777777777777778,22.0
FJ_R3_2024-06-29_1.csv_BALANCED,0.9761904761904762,0.9761904761904762,0.4939759036144578,0,0,1,41,0.0,0.0,0.0,0.0,1.0,0.9761904761904762,0.9879518072289156,42.0
AZ_L3_2024-11-22_1.csv_BALANCED,0.625,0.625,0.5636363636363637,1,3,0,4,1.0,0.25,0.4,4.0,0.5714285714285714,1.0,0.7272727272727273,4.0
K_R2_2025-01-14_1.csv_BALANCED,0.5357142857142857,0.5357142857142857,0.408130081300813,1,13,0,14,1.0,0.07142857142857142,0.13333333333333333,14.0,0.5185185185185185,1.0,0.6829268292682927,14.0
AZ_L3_2024-12-16_1.csv_BALANCED,0.5,0.5,0.4181818181818182,1,7,1,7,0.5,0.125,0.2,8.0,0.5,0.875,0.6363636363636364,8.0
FJ_L3_2024-06-29_1.csv_BALANCED,0.5333333333333333,0.5333333333333333,0.4444444444444444,2,13,1,14,0.6666666666666666,0.13333333333333333,0.2222222222222222,15.0,0.5185185185185185,0.9333333333333333,0.6666666666666666,15.0
FJ_L2_2024-07-29_1.csv_BALANCED,0.6538461538461539,0.6538461538461539,0.6067226890756303,4,9,0,13,1.0,0.3076923076923077,0.47058823529411764,13.0,0.5909090909090909,1.0,0.7428571428571429,13.0
FS_L2_2024-07-31_1.csv_BALANCED,0.8,0.8,0.7916666666666667,6,4,0,10,1.0,0.6,0.75,10.0,0.7142857142857143,1.0,0.8333333333333334,10.0
