filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
AZ_R2_2024-12-14_1.csv_BALANCED,0.5625,0.5625,0.5607843137254902,5,3,4,4,False,[],[],0.5555555555555556,0.625,0.5882352941176471,8.0,0.5714285714285714,0.5,0.5333333333333333,8.0
K_R2_2025-02-04_1.csv_BALANCED,0.7115384615384616,0.7115384615384616,0.6853569987898347,26,0,15,11,False,[],[],0.6341463414634146,1.0,0.7761194029850746,26.0,1.0,0.4230769230769231,0.5945945945945946,26.0
FJ_R3_2024-07-29_1.csv_BALANCED,0.5357142857142857,0.5357142857142857,0.4728881737731295,37,5,34,8,False,[],[],0.5211267605633803,0.8809523809523809,0.6548672566371682,42.0,0.6153846153846154,0.19047619047619047,0.2909090909090909,42.0
FJ_R2_2024-07-15_1.csv_BALANCED,0.5,0.5,0.3333333333333333,3,0,3,0,True,[],['s'],0.5,1.0,0.6666666666666666,3.0,0.0,0.0,0.0,3.0
FU_R2_2024-07-18_1.csv_BALANCED,0.625,0.625,0.5636363636363637,8,0,6,2,False,[],[],0.5714285714285714,1.0,0.7272727272727273,8.0,1.0,0.25,0.4,8.0
K_R2_2025-01-14_1.csv_BALANCED,0.5,0.5,0.3333333333333333,14,0,14,0,True,[],['s'],0.5,1.0,0.6666666666666666,14.0,0.0,0.0,0.0,14.0
FJ_R2_2024-06-29_1.csv_BALANCED,0.42105263157894735,0.42105263157894735,0.31419196062346183,31,7,37,1,False,[],[],0.45588235294117646,0.8157894736842105,0.5849056603773585,38.0,0.125,0.02631578947368421,0.043478260869565216,38.0
FJ_L2_2024-07-15_1.csv_BALANCED,0.5,0.5,0.4857142857142857,2,1,2,1,False,[],[],0.5,0.6666666666666666,0.5714285714285714,3.0,0.5,0.3333333333333333,0.4,3.0
FJ_L3_2024-07-29_1.csv_BALANCED,0.5,0.5,0.4449942900647126,22,5,22,5,False,[],[],0.5,0.8148148148148148,0.6197183098591549,27.0,0.5,0.18518518518518517,0.2702702702702703,27.0
