filename,accuracy,balanced_accuracy,macro_f1,true_negatives,false_positives,false_negatives,true_positives,has_class_mismatch,classes_only_in_pred,classes_only_in_true,precision_f,recall_f,f1-score_f,support_f,precision_s,recall_s,f1-score_s,support_s
AZ_R2_2024-12-14_1.csv_BALANCED,0.625,0.625,0.5636363636363637,2,6,0,8,False,[],[],1.0,0.25,0.4,8.0,0.5714285714285714,1.0,0.7272727272727273,8.0
K_R2_2025-02-04_1.csv_BALANCED,0.6730769230769231,0.6730769230769231,0.6729559748427673,18,8,9,17,False,[],[],0.6666666666666666,0.6923076923076923,0.6792452830188679,26.0,0.68,0.6538461538461539,0.6666666666666666,26.0
FJ_R3_2024-07-29_1.csv_BALANCED,0.6309523809523809,0.6309523809523809,0.6010418262601501,15,27,4,38,False,[],[],0.7894736842105263,0.35714285714285715,0.4918032786885246,42.0,0.5846153846153846,0.9047619047619048,0.7102803738317757,42.0
FJ_R2_2024-07-15_1.csv_BALANCED,0.6666666666666666,0.6666666666666666,0.6666666666666666,2,1,1,2,False,[],[],0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
FU_R2_2024-07-18_1.csv_BALANCED,1.0,1.0,1.0,8,0,0,8,False,[],[],1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0
K_R2_2025-01-14_1.csv_BALANCED,0.7142857142857143,0.7142857142857142,0.7083333333333333,8,6,2,12,False,[],[],0.8,0.5714285714285714,0.6666666666666666,14.0,0.6666666666666666,0.8571428571428571,0.75,14.0
FJ_R2_2024-06-29_1.csv_BALANCED,0.8289473684210527,0.8289473684210527,0.825287356321839,26,12,1,37,False,[],[],0.9629629629629629,0.6842105263157895,0.8,38.0,0.7551020408163265,0.9736842105263158,0.8505747126436781,38.0
FJ_L2_2024-07-15_1.csv_BALANCED,0.8333333333333334,0.8333333333333333,0.8285714285714285,3,0,1,2,False,[],[],0.75,1.0,0.8571428571428571,3.0,1.0,0.6666666666666666,0.8,3.0
FJ_L3_2024-07-29_1.csv_BALANCED,0.8888888888888888,0.8888888888888888,0.8887362637362637,25,2,4,23,False,[],[],0.8620689655172413,0.9259259259259259,0.8928571428571429,27.0,0.92,0.8518518518518519,0.8846153846153846,27.0
